,season,week,home,away,game_result,yppa_diff,rush_diff,drive_points_diff,turnover_diff,sack_yards_diff,sack_times_diff
3264,2014,5,Cowboys,Texans,1,1.5,-1.5,0.40000000000000013,2,8,1
3265,2014,5,Lions,Bills,0,-0.20000000000000018,1.1999999999999997,-0.20999999999999996,1,13,4
3266,2014,5,Titans,Browns,0,0.4999999999999991,0.09999999999999964,-0.31000000000000005,-1,5,2
3267,2014,5,Colts,Ravens,1,1.0,-1.7999999999999998,0.5899999999999999,1,-31,-3
3268,2014,5,Saints,Buccaneers,1,-1.2999999999999998,1.6999999999999997,0.03000000000000025,2,-1,-1
3269,2014,5,Giants,Falcons,1,-0.39999999999999947,-0.6999999999999997,1.06,1,-2,0
3270,2014,5,Panthers,Bears,1,-0.7000000000000002,-0.3999999999999999,0.6699999999999999,-1,-3,-2
3271,2014,5,Jaguars,Steelers,0,-2.0,-0.2999999999999998,-0.7999999999999999,1,-8,-3
3272,2014,5,Broncos,Cardinals,1,4.8999999999999995,1.4,1.23,2,-18,-2
3273,2014,5,Chargers,Jets,1,8.0,-0.2999999999999998,2.58,-1,-3,1
3274,2014,5,49ers,Chiefs,1,1.6000000000000005,-1.1000000000000005,0.55,-1,15,3
3275,2014,6,Patriots,Bengals,1,-0.20000000000000107,0.39999999999999947,2.27,-3,-1,0
3276,2014,6,Redskins,Seahawks,0,0.1999999999999993,-4.300000000000001,-0.8300000000000001,0,-15,-2
3277,2014,6,Texans,Colts,0,0.3000000000000007,3.0,0.009999999999999787,0,9,2
3278,2014,6,Bills,Patriots,0,-2.3000000000000007,1.1,-1.02,3,16,3
3279,2014,6,Bengals,Panthers,0,1.2000000000000002,1.9000000000000004,0.0,1,3,1
3280,2014,6,Browns,Steelers,1,7.1000000000000005,-0.09999999999999964,1.81,0,0,-1
3281,2014,6,Titans,Jaguars,1,1.4000000000000004,-0.7000000000000002,0.17999999999999994,-2,-26,-3
3282,2014,6,Dolphins,Packers,0,1.6999999999999993,1.3000000000000003,-0.27,3,-9,-2
3283,2014,6,Vikings,Lions,0,-0.8000000000000003,0.19999999999999973,-1.1,3,15,4
3284,2014,6,Jets,Broncos,0,-2.7,-2.1,-1.27,2,1,2
3285,2014,6,Buccaneers,Ravens,0,-4.6000000000000005,0.0,-2.27,0,37,5
3286,2014,6,Raiders,Chargers,0,-0.5,2.2,-0.30000000000000027,1,-6,-1
3287,2014,6,Falcons,Bears,0,-3.3000000000000007,-0.3999999999999999,-1.2700000000000002,1,20,2
3288,2014,6,Cardinals,Redskins,1,-3.3000000000000007,-1.0,0.8800000000000001,-4,-12,-1
3289,2014,7,Seahawks,Cowboys,0,-3.0,-0.09999999999999964,-0.6400000000000001,-1,-11,1
3290,2014,7,Eagles,Giants,1,1.2000000000000002,1.9999999999999996,2.08,1,-40,-7
3291,2014,7,Rams,49ers,0,-4.700000000000001,0.8999999999999999,-1.37,0,20,5
3292,2014,7,Patriots,Jets,1,1.0,-0.8999999999999995,0.20000000000000018,0,-20,-2
3293,2014,7,Bills,Vikings,1,1.4000000000000004,0.7999999999999998,0.08000000000000007,2,-11,1
3294,2014,7,Bears,Dolphins,0,-2.9000000000000004,-0.5,-1.1400000000000001,3,-3,-1
3295,2014,7,Lions,Saints,1,-0.3000000000000007,-1.0,0.08000000000000007,0,7,2
3296,2014,7,Packers,Panthers,1,4.3,-0.20000000000000018,1.75,-1,-11,-1
3297,2014,7,Colts,Bengals,1,5.3,2.3,2.08,2,-14,-2
3298,2014,7,Rams,Seahawks,1,0.09999999999999964,-2.1000000000000005,0.21999999999999975,0,-21,-3
3299,2014,7,Redskins,Titans,1,2.8,0.2999999999999998,-0.15999999999999992,0,16,2
3300,2014,7,Jaguars,Browns,1,0.10000000000000053,3.0,1.1,0,-10,-1
3301,2014,7,Ravens,Falcons,1,5.7,-0.8000000000000003,2.06,2,-32,-4
3302,2014,7,Chargers,Chiefs,0,-1.5999999999999996,0.3999999999999999,-0.08999999999999986,1,13,-1
3303,2014,8,Cowboys,Giants,1,4.1,0.5,0.9099999999999999,-1,12,2
3304,2014,8,Raiders,Cardinals,0,-1.8999999999999995,-0.3999999999999999,-1.22,-1,-2,0
3305,2014,8,Broncos,49ers,1,5.9,0.8999999999999999,1.95,-1,-39,-4
3306,2014,8,Steelers,Texans,1,-0.7999999999999989,-1.4000000000000004,0.5800000000000001,-2,15,2
